,Classifier,Accuracy_train,Accuracy_test,AUC_train,AUC_test,F1_score,Time taken,Ac_rank,Time_rank,C-rank
0,N2_MultinomialNB(),0.798616839305333,0.7536467267409833,0.5975772610051895,0.4972940573262701,0.0434052240177348,16.689544200897217,6.0,6.0,1.0
1,N2_BernoulliNB(),0.8824551337418512,0.7622500324705862,0.7701116389705903,0.5190984598763264,0.12184757586483821,18.038374423980713,5.0,4.0,2.0
2,N2_PassiveAggressiveClassifier(),0.9848964668925033,0.7967368180617076,0.9735708522371966,0.725302894190724,0.5950600098152419,21.146831035614014,3.0,3.0,4.0
3,N2_LinearSVC(),0.9911141058223585,0.792323673520573,0.9838384450353337,0.7135208222488535,0.5813087082153415,36.50412940979004,4.0,2.0,4.0
4,N2_LogisticRegression(),0.9907982364483328,0.8030215559904871,0.9834836980868227,0.7233147724765281,0.5963818860076653,42.96721267700195,2.0,1.0,6.0
5,N2_SGDClassifier(),0.9425118202194899,0.8105031149369175,0.893626881275317,0.7126038294811154,0.5844228043729194,17.54802131652832,1.0,5.0,4.0
